op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemm,naive,q8,32,1024,4195491.450,511.8551,0.0000,2810.0,2805.0,2813.0,120.47,
gemm,naive,q8,32,2048,35315588.571,486.4670,0.0000,2728.5,2696.0,2765.0,120.59,
gemm,naive,q8,32,4096,284373593.000,483.3042,0.0000,2689.1,2679.0,2700.0,120.27,
gemm,naive,q4,32,256,83194.050,403.3273,0.0000,2800.0,2800.0,2800.0,119.79,
gemm,naive,q4,32,512,625211.900,429.3512,0.0000,2809.7,2809.0,2810.0,119.48,
gemm,naive,q4,32,1024,4993074.900,430.0924,0.0000,2810.2,2806.0,2813.0,120.00,
gemm,naive,q4,32,2048,40956845.167,419.4627,0.0000,2721.1,2710.0,2737.0,119.85,
gemm,naive,q4,32,4096,332167241.000,413.7643,0.0000,2704.0,2690.0,2718.0,120.26,
gemm,tiled,q8,32,256,17272.800,1942.6168,0.0000,2616.0,2616.0,2616.0,118.83,
gemm,tiled,q8,32,512,126726.750,2118.2225,0.0000,2809.0,2809.0,2809.0,119.56,
gemm,tiled,q8,32,1024,871786.400,2463.3140,0.0000,2773.7,2773.0,2774.0,119.42,
gemm,tiled,q8,32,2048,7400983.950,2321.2953,0.0000,2781.4,2766.0,2794.0,120.60,
gemm,tiled,q8,32,4096,63931774.000,2149.7754,0.0000,2492.9,2481.0,2504.0,120.10,
gemm,tiled,q4,32,256,17441.100,1923.8713,0.0000,2766.0,2766.0,2766.0,119.29,
gemm,tiled,q4,32,512,130183.300,2061.9807,0.0000,2813.0,2813.0,2813.0,119.39,
gemm,tiled,q4,32,1024,890499.950,2411.5483,0.0000,2812.9,2812.0,2813.0,119.73,
gemm,tiled,q4,32,2048,7540108.250,2278.4645,0.0000,2790.9,2775.0,2804.0,120.65,
gemm,tiled,q4,32,4096,61677017.000,2228.3658,0.0000,2708.3,2674.0,2749.0,120.72,
gemm,naive,q8,64,256,69540.100,482.5192,0.0000,2813.0,2813.0,2813.0,119.68,
gemm,naive,q8,64,512,528243.650,508.1660,0.0000,2745.0,2745.0,2745.0,119.17,
gemm,naive,q8,64,1024,4207187.700,510.4321,0.0000,2809.5,2804.0,2813.0,120.17,
gemm,naive,q8,64,2048,34469772.929,498.4039,0.0000,2744.1,2724.0,2769.0,120.04,
gemm,naive,q8,64,4096,283601887.000,484.6193,0.0000,2702.7,2690.0,2716.0,120.27,
gemm,naive,q4,64,256,81290.450,412.7721,0.0000,2813.0,2813.0,2813.0,119.41,
gemm,naive,q4,64,512,620248.450,432.7870,0.0000,2813.0,2813.0,2813.0,119.35,
gemm,naive,q4,64,1024,4996791.950,429.7725,0.0000,2809.8,2806.0,2813.0,119.90,
gemm,naive,q4,64,2048,40863077.000,420.4252,0.0000,2775.4,2752.0,2804.0,120.16,
gemm,naive,q4,64,4096,327898130.000,419.1514,0.0000,2712.5,2702.0,2725.0,120.17,
gemm,tiled,q8,64,256,16990.250,1974.9228,0.0000,2805.0,2805.0,2805.0,119.45,
gemm,tiled,q8,64,512,124344.250,2158.8088,0.0000,2813.0,2813.0,2813.0,119.46,
gemm,tiled,q8,64,1024,913846.300,2349.9396,0.0000,2698.0,2698.0,2698.0,119.72,
gemm,tiled,q8,64,2048,7367973.200,2331.6954,0.0000,2758.0,2745.0,2770.0,120.41,
gemm,tiled,q8,64,4096,61578394.625,2231.9347,0.0000,2677.7,2647.0,2721.0,120.67,
gemm,tiled,q4,64,256,17531.300,1913.9728,0.0000,2807.0,2807.0,2807.0,119.56,
gemm,tiled,q4,64,512,130495.900,2057.0413,0.0000,2813.0,2813.0,2813.0,119.41,
gemm,tiled,q4,64,1024,894188.950,2401.5994,0.0000,2813.0,2813.0,2813.0,119.59,
gemm,tiled,q4,64,2048,7435882.250,2310.4009,0.0000,2801.1,2788.0,2812.0,120.72,
gemm,tiled,q4,64,4096,61535578.250,2233.4876,0.0000,2727.2,2689.0,2772.0,120.72,
gemm,naive,q8,128,256,68301.750,491.2675,0.0000,2813.0,2813.0,2813.0,119.44,
gemm,naive,q8,128,512,526384.100,509.9612,0.0000,2813.0,2813.0,2813.0,119.56,
gemm,naive,q8,128,1024,4183148.000,513.3654,0.0000,2810.3,2806.0,2813.0,120.10,
gemm,naive,q8,128,2048,34371883.000,499.8233,0.0000,2767.6,2744.0,2796.0,120.09,
gemm,naive,q8,128,4096,298888131.000,459.8341,0.0000,2550.9,2535.0,2563.0,120.24,
gemm,naive,q4,128,256,80845.600,415.0434,0.0000,2788.0,2788.0,2788.0,119.28,
gemm,naive,q4,128,512,618585.300,433.9506,0.0000,2813.0,2813.0,2813.0,119.34,
