tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m4,m4/k40,10,10,640,10,640,router,4.390,0.2,598.3,599.5
1,m4,m4/k40,10,10,640,10,640,router.sum,0.834,0.0,0.0,0.0
1,m4,m4/k40,10,10,640,10,640,route,5.827,0.3,0.0,0.0
1,m4,m4/k40,10,10,640,10,640,perm.up,3.004,0.1,0.0,0.0
1,m4,m4/k40,10,10,640,10,640,perm.down,2.994,0.1,0.0,0.0
1,m4,m4/k40,10,10,640,10,640,up,359.263,17.2,11674.7,51.3
1,m4,m4/k40,10,10,640,10,640,down,100.431,4.8,20881.5,122.4
1,m4,m4/k40,10,10,640,10,640,shexp.up,209.832,10.1,31.2,16.6
1,m4,m4/k40,10,10,640,10,640,shexp.down,22.190,1.1,147.7,78.4
1,m4,m4/k40,10,10,640,10,640,combine,2.711,0.1,0.0,45.3
1,m4,m4/k40,10,10,640,10,640,block,711.476,34.2,,
1,m4,w2m1/k40,10,10,640,20,640,router,4.322,0.2,607.7,608.9
1,m4,w2m1/k40,10,10,640,20,640,router.sum,0.837,0.0,0.0,0.0
1,m4,w2m1/k40,10,10,640,20,640,route,5.815,0.3,0.0,0.0
1,m4,w2m1/k40,10,10,640,20,640,perm.up,2.997,0.1,0.0,0.0
1,m4,w2m1/k40,10,10,640,20,640,perm.down,3.049,0.1,0.0,0.0
1,m4,w2m1/k40,10,10,640,20,640,up,359.136,17.2,11678.9,51.3
1,m4,w2m1/k40,10,10,640,20,640,down,131.512,6.3,15946.5,93.4
1,m4,w2m1/k40,10,10,640,20,640,shexp.up,210.991,10.1,31.1,16.5
1,m4,w2m1/k40,10,10,640,20,640,shexp.down,19.384,0.9,169.0,89.8
1,m4,w2m1/k40,10,10,640,20,640,combine,2.739,0.1,0.0,44.9
1,m4,w2m1/k40,10,10,640,20,640,block,740.782,35.6,,
1,m4,w4m1/k40,10,10,640,10,640,router,4.596,0.2,571.5,572.6
1,m4,w4m1/k40,10,10,640,10,640,router.sum,0.844,0.0,0.0,0.0
1,m4,w4m1/k40,10,10,640,10,640,route,5.858,0.3,0.0,0.0
1,m4,w4m1/k40,10,10,640,10,640,perm.up,3.029,0.1,0.0,0.0
1,m4,w4m1/k40,10,10,640,10,640,perm.down,3.023,0.1,0.0,0.0
1,m4,w4m1/k40,10,10,640,10,640,up,362.385,17.4,11574.2,50.9
1,m4,w4m1/k40,10,10,640,10,640,down,118.999,5.7,17623.3,103.3
1,m4,w4m1/k40,10,10,640,10,640,shexp.up,210.406,10.1,31.1,16.5
1,m4,w4m1/k40,10,10,640,10,640,shexp.down,19.361,0.9,169.2,89.9
1,m4,w4m1/k40,10,10,640,10,640,combine,2.738,0.1,0.0,44.9
