tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv32,up_m1,block,37.042,3.6,,
1,down_gemv32,up_m2,norm,4.622,0.4,0.0,13.3
1,down_gemv32,up_m2,down,12.783,1.2,538.3,326.0
1,down_gemv32,up_m2,down_reduce,0.822,0.1,0.0,0.0
1,down_gemv32,up_m2,up,21.348,2.1,307.0,164.0
1,down_gemv32,up_m2,combine,2.620,0.3,0.0,35.2
1,down_gemv32,up_m2,block,42.195,4.1,,
1,down_gemv32,up_m4,norm,4.627,0.4,0.0,13.3
1,down_gemv32,up_m4,down,12.824,1.2,536.6,325.0
1,down_gemv32,up_m4,down_reduce,0.819,0.1,0.0,0.0
1,down_gemv32,up_m4,up,30.786,3.0,212.9,113.8
1,down_gemv32,up_m4,combine,2.536,0.2,0.0,36.3
1,down_gemv32,up_m4,block,51.592,5.0,,
1,down_gemv32,up_m8,norm,4.519,0.4,0.0,13.6
1,down_gemv32,up_m8,down,13.118,1.3,524.6,317.7
1,down_gemv32,up_m8,down_reduce,0.800,0.1,0.0,0.0
1,down_gemv32,up_m8,up,48.772,4.7,134.4,71.8
1,down_gemv32,up_m8,combine,2.481,0.2,0.0,37.1
1,down_gemv32,up_m8,block,69.690,6.8,,
1,down_gemv40,up_m1,norm,4.527,0.4,0.0,13.6
1,down_gemv40,up_m1,down,31.156,3.0,220.9,133.8
1,down_gemv40,up_m1,down_reduce,0.838,0.1,0.0,0.0
1,down_gemv40,up_m1,up,16.062,1.6,408.0,218.0
1,down_gemv40,up_m1,combine,2.611,0.3,0.0,35.3
1,down_gemv40,up_m1,block,55.194,5.4,,
1,down_gemv40,up_m2,norm,4.617,0.4,0.0,13.3
1,down_gemv40,up_m2,down,30.893,3.0,222.7,134.9
1,down_gemv40,up_m2,down_reduce,0.838,0.1,0.0,0.0
1,down_gemv40,up_m2,up,21.161,2.1,309.7,165.5
1,down_gemv40,up_m2,combine,2.616,0.3,0.0,35.2
1,down_gemv40,up_m2,block,60.125,5.8,,
1,down_gemv40,up_m4,norm,4.630,0.4,0.0,13.3
1,down_gemv40,up_m4,down,30.927,3.0,222.5,134.8
1,down_gemv40,up_m4,down_reduce,0.838,0.1,0.0,0.0
1,down_gemv40,up_m4,up,30.747,3.0,213.1,113.9
1,down_gemv40,up_m4,combine,2.613,0.3,0.0,35.3
1,down_gemv40,up_m4,block,69.755,6.8,,
1,down_gemv40,up_m8,norm,4.633,0.4,0.0,13.3
1,down_gemv40,up_m8,down,30.990,3.0,222.0,134.5
1,down_gemv40,up_m8,down_reduce,0.838,0.1,0.0,0.0
1,down_gemv40,up_m8,up,50.037,4.9,131.0,70.0
1,down_gemv40,up_m8,combine,2.615,0.3,0.0,35.2
1,down_gemv40,up_m8,block,89.113,8.6,,
1,down_gemv80,up_m1,norm,4.626,0.4,0.0,13.3
1,down_gemv80,up_m1,down,21.672,2.1,317.5,192.3
1,down_gemv80,up_m1,down_reduce,1.117,0.1,0.0,0.0
1,down_gemv80,up_m1,up,16.117,1.6,406.6,217.3
1,down_gemv80,up_m1,combine,2.609,0.3,0.0,35.3
1,down_gemv80,up_m1,block,46.141,4.5,,
