op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,8192,18303185.500,14666.0512,127.6342,2874.8,2868.0,2880.0,119.42,layer=moe.gate_up;mode=per_expert;tokens=8192;rows=81920;padrows=85728;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=53580;dispatches=512;wgperdispatch=105;useful=96%;exec_gflops=15348;weightGBps=92;actGBps=36
moe,moe_reg64_bt_hka4_gcd16,fp16,0,2048,9268019.346,7240.9068,208.1761,2881.7,2877.0,2886.0,120.03,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5136B;gcd4K=16;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=11585;weightGBps=181;actGBps=27
moe,moe_reg64_bt_hka4_gcd64,fp16,0,2048,8969100.309,7482.2292,215.1141,2885.9,2882.0,2889.0,121.26,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5184B;gcd4K=64;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=11972;weightGBps=187;actGBps=28
moe,moe_reg64_bt_hka4_gcd128,fp16,0,2048,8791674.286,7633.2291,219.4553,2886.6,2883.0,2890.0,122.60,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5248B;gcd4K=128;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=12213;weightGBps=191;actGBps=29
moe,moe_reg64_bt_hka4_gcd256,fp16,0,2048,8835851.491,7595.0647,218.3581,2888.7,2886.0,2891.0,122.32,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5376B;gcd4K=256;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=12152;weightGBps=190;actGBps=28
moe,moe_reg64_bt_hka4_gcd512,fp16,0,2048,8799575.000,7626.3756,219.2583,2888.2,2885.0,2891.0,121.09,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5632B;gcd4K=512;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=12202;weightGBps=191;actGBps=29
moe,moe_reg64_bt_hka4_gcd1024,fp16,0,2048,9729999.423,6897.1087,198.2919,2888.0,2885.0,2891.0,118.70,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=5120B;gcd4K=1024;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=11035;weightGBps=172;actGBps=26
moe,moe_reg64_bt_hka4_gcd2048,fp16,0,2048,12682532.737,5291.4402,152.1289,2886.3,2883.0,2889.0,113.84,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=32768;tile=64x64x64;wave=64;ai=32;strideB=6144B;gcd4K=2048;tiles=5120;dispatches=1;wgperdispatch=5120;useful=62%;exec_gflops=8466;weightGBps=132;actGBps=20
moe,moe_reg16x64_bt_hkab4_w32_gcd16,fp16,0,2048,11229305.026,5976.2259,166.0606,2891.8,2890.0,2893.0,115.45,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=24352;tile=16x64x64;wave=32;ai=13;strideB=5136B;gcd4K=16;tiles=15220;dispatches=1;wgperdispatch=15220;useful=84%;exec_gflops=7106;weightGBps=149;actGBps=17
moe,moe_reg16x64_bt_hkab4_w32_gcd64,fp16,0,2048,10152427.978,6610.1295,183.6748,2895.0,2894.0,2896.0,119.65,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=24352;tile=16x64x64;wave=32;ai=13;strideB=5184B;gcd4K=64;tiles=15220;dispatches=1;wgperdispatch=15220;useful=84%;exec_gflops=7860;weightGBps=165;actGBps=18
