tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
64,2048,qt1_kt4,gemm_m4,gemm_m8,layer,735.931,8.8,,
64,2048,qt1_kt4,gemm_m8,gemm_m2,qkv,454.392,5.5,10061.3,157.9
64,2048,qt1_kt4,gemm_m8,gemm_m2,pack,8.640,0.1,0.0,318.6
64,2048,qt1_kt4,gemm_m8,gemm_m2,idx,3.600,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m2,score,11.338,0.1,2959.5,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m2,attn,14.155,0.2,3555.8,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m2,out,164.250,2.0,12257.3,196.3
64,2048,qt1_kt4,gemm_m8,gemm_m2,layer,656.375,7.9,,
64,2048,qt1_kt4,gemm_m8,gemm_m4,qkv,451.748,5.4,10120.2,158.9
64,2048,qt1_kt4,gemm_m8,gemm_m4,pack,8.641,0.1,0.0,318.5
64,2048,qt1_kt4,gemm_m8,gemm_m4,idx,3.605,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m4,score,11.348,0.1,2956.9,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m4,attn,14.189,0.2,3547.2,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m4,out,197.508,2.4,10193.3,163.3
64,2048,qt1_kt4,gemm_m8,gemm_m4,layer,687.039,8.2,,
64,2048,qt1_kt4,gemm_m8,gemm_m8,qkv,452.465,5.4,10104.2,158.6
64,2048,qt1_kt4,gemm_m8,gemm_m8,pack,8.653,0.1,0.0,318.1
64,2048,qt1_kt4,gemm_m8,gemm_m8,idx,3.620,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m8,score,11.356,0.1,2954.8,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m8,attn,14.171,0.2,3551.7,0.0
64,2048,qt1_kt4,gemm_m8,gemm_m8,out,285.161,3.4,7060.1,113.1
64,2048,qt1_kt4,gemm_m8,gemm_m8,layer,775.426,9.3,,
64,2048,qt2_kt4,gemm_m2,gemm_m2,qkv,503.813,6.0,9074.4,142.4
64,2048,qt2_kt4,gemm_m2,gemm_m2,pack,8.110,0.1,0.0,339.4
64,2048,qt2_kt4,gemm_m2,gemm_m2,idx,3.547,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m2,score,11.163,0.1,3005.9,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m2,attn,17.848,0.2,2820.0,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m2,out,162.511,2.0,12388.5,198.4
64,2048,qt2_kt4,gemm_m2,gemm_m2,layer,706.992,8.5,,
64,2048,qt2_kt4,gemm_m2,gemm_m4,qkv,497.642,6.0,9186.9,144.2
64,2048,qt2_kt4,gemm_m2,gemm_m4,pack,8.096,0.1,0.0,340.0
64,2048,qt2_kt4,gemm_m2,gemm_m4,idx,3.540,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m4,score,11.157,0.1,3007.5,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m4,attn,17.736,0.2,2837.8,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m4,out,194.517,2.3,10350.1,165.8
64,2048,qt2_kt4,gemm_m2,gemm_m4,layer,732.688,8.8,,
64,2048,qt2_kt4,gemm_m2,gemm_m8,qkv,500.160,6.0,9140.7,143.5
64,2048,qt2_kt4,gemm_m2,gemm_m8,pack,8.169,0.1,0.0,336.9
64,2048,qt2_kt4,gemm_m2,gemm_m8,idx,3.541,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m8,score,11.164,0.1,3005.6,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m8,attn,17.802,0.2,2827.3,0.0
64,2048,qt2_kt4,gemm_m2,gemm_m8,out,281.997,3.4,7139.3,114.3
64,2048,qt2_kt4,gemm_m2,gemm_m8,layer,822.833,9.9,,
64,2048,qt2_kt4,gemm_m4,gemm_m2,qkv,412.666,5.0,11078.7,173.9
64,2048,qt2_kt4,gemm_m4,gemm_m2,pack,8.688,0.1,0.0,316.8
64,2048,qt2_kt4,gemm_m4,gemm_m2,idx,3.614,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m2,score,11.353,0.1,2955.6,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m2,attn,18.944,0.2,2656.9,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m2,out,160.420,1.9,12550.0,201.0
64,2048,qt2_kt4,gemm_m4,gemm_m2,layer,615.685,7.4,,
64,2048,qt2_kt4,gemm_m4,gemm_m4,qkv,413.793,5.0,11048.5,173.4
64,2048,qt2_kt4,gemm_m4,gemm_m4,pack,8.127,0.1,0.0,338.7
64,2048,qt2_kt4,gemm_m4,gemm_m4,idx,3.542,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m4,score,11.167,0.1,3004.8,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m4,attn,18.391,0.2,2736.8,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m4,out,197.056,2.4,10216.7,163.6
64,2048,qt2_kt4,gemm_m4,gemm_m4,layer,652.076,7.8,,
64,2048,qt2_kt4,gemm_m4,gemm_m8,qkv,413.662,5.0,11052.0,173.5
64,2048,qt2_kt4,gemm_m4,gemm_m8,pack,8.263,0.1,0.0,333.1
64,2048,qt2_kt4,gemm_m4,gemm_m8,idx,3.554,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m8,score,11.203,0.1,2995.1,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m8,attn,18.174,0.2,2769.4,0.0
64,2048,qt2_kt4,gemm_m4,gemm_m8,out,285.604,3.4,7049.2,112.9
64,2048,qt2_kt4,gemm_m4,gemm_m8,layer,740.460,8.9,,
64,2048,qt2_kt4,gemm_m8,gemm_m2,qkv,452.968,5.4,10093.0,158.4
64,2048,qt2_kt4,gemm_m8,gemm_m2,pack,8.754,0.1,0.0,314.4
64,2048,qt2_kt4,gemm_m8,gemm_m2,idx,3.616,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m2,score,11.347,0.1,2957.1,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m2,attn,18.978,0.2,2652.1,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m2,out,165.720,2.0,12148.6,194.6
64,2048,qt2_kt4,gemm_m8,gemm_m2,layer,661.383,7.9,,
64,2048,qt2_kt4,gemm_m8,gemm_m4,qkv,453.359,5.4,10084.3,158.3
64,2048,qt2_kt4,gemm_m8,gemm_m4,pack,8.252,0.1,0.0,333.6
64,2048,qt2_kt4,gemm_m8,gemm_m4,idx,3.560,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m4,score,11.221,0.1,2990.3,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m4,attn,18.134,0.2,2775.5,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m4,out,197.168,2.4,10210.9,163.5
64,2048,qt2_kt4,gemm_m8,gemm_m4,layer,691.694,8.3,,
64,2048,qt2_kt4,gemm_m8,gemm_m8,qkv,454.114,5.4,10067.5,158.0
64,2048,qt2_kt4,gemm_m8,gemm_m8,pack,8.373,0.1,0.0,328.7
64,2048,qt2_kt4,gemm_m8,gemm_m8,idx,3.587,0.0,0.0,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m8,score,11.229,0.1,2988.2,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m8,attn,18.836,0.2,2672.1,0.0
64,2048,qt2_kt4,gemm_m8,gemm_m8,out,287.200,3.4,7010.0,112.3
64,2048,qt2_kt4,gemm_m8,gemm_m8,layer,783.339,9.4,,
128,2048,qt1_kt2,gemm_m2,gemm_m2,qkv,914.267,11.0,10001.0,78.8
128,2048,qt1_kt2,gemm_m2,gemm_m2,pack,15.667,0.2,0.0,351.4
128,2048,qt1_kt2,gemm_m2,gemm_m2,idx,4.025,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m2,score,19.827,0.2,3384.7,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m2,attn,23.347,0.3,8623.2,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m2,out,194.330,2.3,20720.1,170.0
128,2048,qt1_kt2,gemm_m2,gemm_m2,layer,1171.463,14.1,,
128,2048,qt1_kt2,gemm_m2,gemm_m4,qkv,915.580,11.0,9986.7,78.7
128,2048,qt1_kt2,gemm_m2,gemm_m4,pack,15.769,0.2,0.0,349.1
128,2048,qt1_kt2,gemm_m2,gemm_m4,idx,3.996,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m4,score,19.185,0.2,3498.0,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m4,attn,22.377,0.3,8997.0,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m4,out,206.480,2.5,19500.8,160.0
