tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,score,897.869,10.8,4783.5,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,select,1120.200,13.4,0.0,61.8
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,attn,17710.089,212.5,11640.7,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,out,3626.510,43.5,35529.8,22.6
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,layer,45289.928,543.5,,
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,qkv,21020.847,252.3,13919.3,4.4
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,pack,955.491,11.5,0.0,184.4
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,idx,44.424,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,score,904.963,10.9,4746.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,select,1153.407,13.8,0.0,60.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,attn,17682.008,212.2,11659.2,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,out,3342.170,40.1,38552.5,24.5
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m8,layer,45103.310,541.2,,
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,qkv,12123.033,145.5,24135.4,7.6
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,pack,954.762,11.5,0.0,184.5
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,idx,42.945,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,score,896.258,10.8,4792.1,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,select,1100.466,13.2,0.0,62.9
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,attn,17585.256,211.0,11723.4,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,out,4643.069,55.7,27750.8,17.6
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m2,layer,37345.789,448.1,,
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,qkv,12125.089,145.5,24131.3,7.6
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,pack,971.377,11.7,0.0,181.4
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,idx,46.103,0.6,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,score,906.778,10.9,4736.5,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,select,1150.049,13.8,0.0,60.2
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,attn,17565.454,210.8,11736.6,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,out,3658.791,43.9,35216.3,22.4
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m4,layer,36423.641,437.1,,
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,qkv,12122.853,145.5,24135.8,7.6
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,pack,956.701,11.5,0.0,184.1
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,idx,43.502,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,score,899.332,10.8,4775.7,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,select,1061.180,12.7,0.0,65.2
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,attn,17687.550,212.3,11655.6,0.0
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,out,3337.501,40.1,38606.4,24.5
4096,4096,sparse,qt1_kt4,gemm_m8,gemm_m8,layer,36108.619,433.3,,
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,qkv,40688.716,488.3,7191.1,2.3
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,pack,954.986,11.5,0.0,184.5
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,idx,43.590,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,score,896.290,10.8,4791.9,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,select,1139.420,13.7,0.0,60.7
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,attn,13046.845,156.6,15801.4,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,out,4763.835,57.2,27047.3,17.2
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m2,layer,61533.682,738.4,,
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,qkv,40933.874,491.2,7148.0,2.3
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,pack,968.640,11.6,0.0,181.9
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,idx,45.891,0.6,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,score,900.663,10.8,4768.7,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,select,1139.561,13.7,0.0,60.7
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,attn,13001.378,156.0,15856.7,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,out,3610.279,43.3,35689.5,22.7
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m4,layer,60600.286,727.2,,
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,qkv,40860.303,490.3,7160.9,2.3
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,pack,955.655,11.5,0.0,184.3
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,idx,43.658,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,score,893.990,10.7,4804.3,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,select,1124.468,13.5,0.0,61.5
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,attn,13021.873,156.3,15831.7,0.0
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,out,3337.212,40.0,38609.8,24.5
4096,4096,sparse,qt2_kt4,gemm_m2,gemm_m8,layer,60237.159,722.8,,
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,qkv,21306.574,255.7,13732.6,4.3
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,pack,957.767,11.5,0.0,183.9
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,idx,46.071,0.6,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,score,892.631,10.7,4811.6,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,select,1145.300,13.7,0.0,60.4
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,attn,13049.213,156.6,15798.5,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,out,4606.608,55.3,27970.5,17.8
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m2,layer,42004.164,504.0,,
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,qkv,20791.327,249.5,14072.9,4.4
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,pack,958.016,11.5,0.0,183.9
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,idx,45.622,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,score,899.092,10.8,4777.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,select,1166.364,14.0,0.0,59.3
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,attn,13054.511,156.7,15792.1,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,out,3692.736,44.3,34892.6,22.1
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m4,layer,40607.668,487.3,,
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,qkv,21111.712,253.3,13859.4,4.4
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,pack,973.738,11.7,0.0,180.9
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,idx,43.354,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,score,896.956,10.8,4788.4,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,select,1133.185,13.6,0.0,61.1
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,attn,13032.257,156.4,15819.1,0.0
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,out,3339.356,40.1,38585.0,24.5
4096,4096,sparse,qt2_kt4,gemm_m4,gemm_m8,layer,40530.558,486.4,,
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,qkv,12123.723,145.5,24134.1,7.6
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,pack,965.730,11.6,0.0,182.4
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,idx,42.773,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,score,897.497,10.8,4785.5,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,select,1040.380,12.5,0.0,66.5
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,attn,13213.101,158.6,15602.6,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,out,4593.603,55.1,28049.7,17.8
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m2,layer,32876.807,394.5,,
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,qkv,12114.942,145.4,24151.6,7.6
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,pack,979.869,11.8,0.0,179.8
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,idx,42.877,0.5,0.0,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,score,895.236,10.7,4797.6,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,select,1136.262,13.6,0.0,60.9
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,attn,13026.069,156.3,15826.6,0.0
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,out,3654.740,43.9,35255.3,22.4
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m4,layer,31849.995,382.2,,
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m8,qkv,12130.443,145.6,24120.7,7.6
4096,4096,sparse,qt2_kt4,gemm_m8,gemm_m8,pack,971.101,11.7,0.0,181.4
