tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m4,w4m1,10,10,640,10,640,perm.down,3.081,0.1,0.0,0.0
1,m4,w4m1,10,10,640,10,640,up,361.876,17.4,11590.4,50.9
1,m4,w4m1,10,10,640,10,640,down,119.434,5.7,17559.1,102.9
1,m4,w4m1,10,10,640,10,640,shexp.up,210.295,10.1,31.2,16.6
1,m4,w4m1,10,10,640,10,640,shexp.down,19.175,0.9,170.9,90.8
1,m4,w4m1,10,10,640,10,640,combine,21.250,1.0,0.0,5.8
1,m4,w4m1,10,10,640,10,640,block,807.301,38.8,,
1,w2m1,m1,10,10,320,20,320,router,63.167,3.0,41.6,41.7
1,w2m1,m1,10,10,320,20,320,route,5.879,0.3,0.0,0.0
1,w2m1,m1,10,10,320,20,320,perm.up,3.036,0.1,0.0,0.0
1,w2m1,m1,10,10,320,20,320,perm.down,3.092,0.1,0.0,0.0
1,w2m1,m1,10,10,320,20,320,up,251.372,12.1,8342.8,73.3
1,w2m1,m1,10,10,320,20,320,down,109.624,5.3,9565.2,112.1
1,w2m1,m1,10,10,320,20,320,shexp.up,145.823,7.0,44.9,23.9
1,w2m1,m1,10,10,320,20,320,shexp.down,12.192,0.6,268.8,142.8
1,w2m1,m1,10,10,320,20,320,combine,21.028,1.0,0.0,5.8
1,w2m1,m1,10,10,320,20,320,block,615.213,29.5,,
1,w2m1,m2,10,10,320,10,320,router,62.851,3.0,41.8,41.9
1,w2m1,m2,10,10,320,10,320,route,5.811,0.3,0.0,0.0
1,w2m1,m2,10,10,320,10,320,perm.up,2.954,0.1,0.0,0.0
1,w2m1,m2,10,10,320,10,320,perm.down,2.946,0.1,0.0,0.0
1,w2m1,m2,10,10,320,10,320,up,247.106,11.9,8486.9,74.6
1,w2m1,m2,10,10,320,10,320,down,85.065,4.1,12326.8,144.5
1,w2m1,m2,10,10,320,10,320,shexp.up,145.822,7.0,44.9,23.9
1,w2m1,m2,10,10,320,10,320,shexp.down,14.207,0.7,230.6,122.5
1,w2m1,m2,10,10,320,10,320,combine,21.214,1.0,0.0,5.8
1,w2m1,m2,10,10,320,10,320,block,587.976,28.2,,
1,w2m1,m4,10,20,640,10,640,router,62.878,3.0,41.8,41.9
1,w2m1,m4,10,20,640,10,640,route,5.807,0.3,0.0,0.0
1,w2m1,m4,10,20,640,10,640,perm.up,3.058,0.1,0.0,0.0
1,w2m1,m4,10,20,640,10,640,perm.down,2.992,0.1,0.0,0.0
1,w2m1,m4,10,20,640,10,640,up,513.663,24.7,8165.5,35.9
1,w2m1,m4,10,20,640,10,640,down,99.078,4.8,21166.7,124.0
1,w2m1,m4,10,20,640,10,640,shexp.up,145.806,7.0,44.9,23.9
1,w2m1,m4,10,20,640,10,640,shexp.down,22.197,1.1,147.6,78.4
1,w2m1,m4,10,20,640,10,640,combine,21.021,1.0,0.0,5.8
1,w2m1,m4,10,20,640,10,640,block,876.500,42.1,,
1,w2m1,w2m1,10,10,320,10,320,router,62.708,3.0,41.9,42.0
1,w2m1,w2m1,10,10,320,10,320,route,5.808,0.3,0.0,0.0
1,w2m1,w2m1,10,10,320,10,320,perm.up,2.953,0.1,0.0,0.0
1,w2m1,w2m1,10,10,320,10,320,perm.down,2.938,0.1,0.0,0.0
1,w2m1,w2m1,10,10,320,10,320,up,245.381,11.8,8546.5,75.1
1,w2m1,w2m1,10,10,320,10,320,down,94.394,4.5,11108.5,130.2
1,w2m1,w2m1,10,10,320,10,320,shexp.up,145.915,7.0,44.9,23.9
1,w2m1,w2m1,10,10,320,10,320,shexp.down,15.787,0.8,207.6,110.3
1,w2m1,w2m1,10,10,320,10,320,combine,21.261,1.0,0.0,5.8
1,w2m1,w2m1,10,10,320,10,320,block,597.145,28.7,,
1,w2m1,w4m1,10,20,640,10,640,router,62.841,3.0,41.8,41.9
1,w2m1,w4m1,10,20,640,10,640,route,5.803,0.3,0.0,0.0
1,w2m1,w4m1,10,20,640,10,640,perm.up,3.066,0.1,0.0,0.0
1,w2m1,w4m1,10,20,640,10,640,perm.down,2.986,0.1,0.0,0.0
1,w2m1,w4m1,10,20,640,10,640,up,513.131,24.6,8173.9,35.9
1,w2m1,w4m1,10,20,640,10,640,down,120.449,5.8,17411.1,102.0
1,w2m1,w4m1,10,20,640,10,640,shexp.up,145.703,7.0,45.0,23.9
1,w2m1,w4m1,10,20,640,10,640,shexp.down,19.201,0.9,170.7,90.7
1,w2m1,w4m1,10,20,640,10,640,combine,21.235,1.0,0.0,5.8
1,w2m1,w4m1,10,20,640,10,640,block,894.415,42.9,,
1,w4m1,m1,10,10,640,40,640,router,63.202,3.0,41.6,41.6
1,w4m1,m1,10,10,640,40,640,route,5.835,0.3,0.0,0.0
1,w4m1,m1,10,10,640,40,640,perm.up,3.024,0.1,0.0,0.0
1,w4m1,m1,10,10,640,40,640,perm.down,3.199,0.2,0.0,0.0
1,w4m1,m1,10,10,640,40,640,up,323.639,15.5,12959.8,57.0
1,w4m1,m1,10,10,640,40,640,down,166.407,8.0,12602.5,73.8
1,w4m1,m1,10,10,640,40,640,shexp.up,180.139,8.6,36.4,19.3
1,w4m1,m1,10,10,640,40,640,shexp.down,15.653,0.8,209.3,111.2
1,w4m1,m1,10,10,640,40,640,combine,21.204,1.0,0.0,5.8
1,w4m1,m1,10,10,640,40,640,block,782.302,37.6,,
1,w4m1,m2,10,10,640,20,640,router,63.837,3.1,41.1,41.2
1,w4m1,m2,10,10,640,20,640,route,5.927,0.3,0.0,0.0
1,w4m1,m2,10,10,640,20,640,perm.up,3.093,0.1,0.0,0.0
1,w4m1,m2,10,10,640,20,640,perm.down,3.141,0.2,0.0,0.0
1,w4m1,m2,10,10,640,20,640,up,324.383,15.6,12930.1,56.8
1,w4m1,m2,10,10,640,20,640,down,108.507,5.2,19327.3,113.2
1,w4m1,m2,10,10,640,20,640,shexp.up,180.195,8.6,36.4,19.3
1,w4m1,m2,10,10,640,20,640,shexp.down,15.280,0.7,214.5,113.9
1,w4m1,m2,10,10,640,20,640,combine,21.228,1.0,0.0,5.8
1,w4m1,m2,10,10,640,20,640,block,725.591,34.8,,
1,w4m1,m4,10,10,640,10,640,router,62.903,3.0,41.8,41.8
1,w4m1,m4,10,10,640,10,640,route,5.818,0.3,0.0,0.0
1,w4m1,m4,10,10,640,10,640,perm.up,3.003,0.1,0.0,0.0
1,w4m1,m4,10,10,640,10,640,perm.down,2.995,0.1,0.0,0.0
1,w4m1,m4,10,10,640,10,640,up,321.543,15.4,13044.3,57.3
1,w4m1,m4,10,10,640,10,640,down,99.218,4.8,21136.8,123.8
1,w4m1,m4,10,10,640,10,640,shexp.up,180.155,8.6,36.4,19.3
1,w4m1,m4,10,10,640,10,640,shexp.down,22.126,1.1,148.1,78.7
1,w4m1,m4,10,10,640,10,640,combine,20.968,1.0,0.0,5.9
1,w4m1,m4,10,10,640,10,640,block,718.729,34.5,,
1,w4m1,w2m1,10,10,640,20,640,router,62.896,3.0,41.8,41.8
1,w4m1,w2m1,10,10,640,20,640,route,5.810,0.3,0.0,0.0
1,w4m1,w2m1,10,10,640,20,640,perm.up,3.002,0.1,0.0,0.0
1,w4m1,w2m1,10,10,640,20,640,perm.down,3.050,0.1,0.0,0.0
1,w4m1,w2m1,10,10,640,20,640,up,321.916,15.5,13029.2,57.3
1,w4m1,w2m1,10,10,640,20,640,down,131.745,6.3,15918.3,93.3
1,w4m1,w2m1,10,10,640,20,640,shexp.up,180.499,8.7,36.3,19.3
1,w4m1,w2m1,10,10,640,20,640,shexp.down,19.391,0.9,169.0,89.8
1,w4m1,w2m1,10,10,640,20,640,combine,21.027,1.0,0.0,5.8
1,w4m1,w2m1,10,10,640,20,640,block,749.336,36.0,,
1,w4m1,w4m1,10,10,640,10,640,router,62.929,3.0,41.7,41.8
1,w4m1,w4m1,10,10,640,10,640,route,5.809,0.3,0.0,0.0
1,w4m1,w4m1,10,10,640,10,640,perm.up,2.998,0.1,0.0,0.0
1,w4m1,w4m1,10,10,640,10,640,perm.down,2.993,0.1,0.0,0.0
1,w4m1,w4m1,10,10,640,10,640,up,323.915,15.5,12948.8,56.9
1,w4m1,w4m1,10,10,640,10,640,down,119.976,5.8,17479.8,102.4
1,w4m1,w4m1,10,10,640,10,640,shexp.up,180.061,8.6,36.4,19.3
1,w4m1,w4m1,10,10,640,10,640,shexp.down,19.167,0.9,171.0,90.8
1,w4m1,w4m1,10,10,640,10,640,combine,20.962,1.0,0.0,5.9
1,w4m1,w4m1,10,10,640,10,640,block,738.810,35.5,,
1,n2m1,m1,10,10,160,10,160,router,62.832,3.0,41.8,41.9
1,n2m1,m1,10,10,160,10,160,route,5.814,0.3,0.0,0.0
1,n2m1,m1,10,10,160,10,160,perm.up,2.906,0.1,0.0,0.0
1,n2m1,m1,10,10,160,10,160,perm.down,3.020,0.1,0.0,0.0
1,n2m1,m1,10,10,160,10,160,up,191.290,9.2,5481.6,96.4
1,n2m1,m1,10,10,160,10,160,down,82.516,4.0,6353.8,148.9
1,n2m1,m1,10,10,160,10,160,shexp.up,90.662,4.4,72.3,38.4
1,n2m1,m1,10,10,160,10,160,shexp.down,11.919,0.6,274.9,146.1
1,n2m1,m1,10,10,160,10,160,combine,20.951,1.0,0.0,5.9
1,n2m1,m1,10,10,160,10,160,block,471.910,22.7,,
1,n2m1,m2,10,20,320,10,320,router,63.098,3.0,41.6,41.7
1,n2m1,m2,10,20,320,10,320,route,5.813,0.3,0.0,0.0
1,n2m1,m2,10,20,320,10,320,perm.up,3.010,0.1,0.0,0.0
1,n2m1,m2,10,20,320,10,320,perm.down,2.948,0.1,0.0,0.0
1,n2m1,m2,10,20,320,10,320,up,317.102,15.2,6613.5,58.1
1,n2m1,m2,10,20,320,10,320,down,85.062,4.1,12327.2,144.5
1,n2m1,m2,10,20,320,10,320,shexp.up,91.076,4.4,72.0,38.2
1,n2m1,m2,10,20,320,10,320,shexp.down,14.143,0.7,231.7,123.1
1,n2m1,m2,10,20,320,10,320,combine,20.973,1.0,0.0,5.9
1,n2m1,m2,10,20,320,10,320,block,603.225,29.0,,
1,n2m1,m4,10,40,640,10,640,router,63.146,3.0,41.6,41.7
1,n2m1,m4,10,40,640,10,640,route,5.810,0.3,0.0,0.0
1,n2m1,m4,10,40,640,10,640,perm.up,3.180,0.2,0.0,0.0
1,n2m1,m4,10,40,640,10,640,perm.down,2.995,0.1,0.0,0.0
1,n2m1,m4,10,40,640,10,640,up,474.571,22.8,8838.1,38.8
1,n2m1,m4,10,40,640,10,640,down,102.518,4.9,20456.4,119.9
1,n2m1,m4,10,40,640,10,640,shexp.up,89.922,4.3,72.9,38.7
1,n2m1,m4,10,40,640,10,640,shexp.down,22.258,1.1,147.2,78.2
1,n2m1,m4,10,40,640,10,640,combine,21.223,1.0,0.0,5.8
1,n2m1,m4,10,40,640,10,640,block,785.623,37.7,,
1,n2m1,w2m1,10,20,320,10,320,router,62.885,3.0,41.8,41.8
1,n2m1,w2m1,10,20,320,10,320,route,5.815,0.3,0.0,0.0
1,n2m1,w2m1,10,20,320,10,320,perm.up,3.006,0.1,0.0,0.0
1,n2m1,w2m1,10,20,320,10,320,perm.down,2.946,0.1,0.0,0.0
1,n2m1,w2m1,10,20,320,10,320,up,317.856,15.3,6597.8,58.0
1,n2m1,w2m1,10,20,320,10,320,down,93.848,4.5,11173.1,130.9
1,n2m1,w2m1,10,20,320,10,320,shexp.up,90.373,4.3,72.5,38.5
1,n2m1,w2m1,10,20,320,10,320,shexp.down,15.833,0.8,207.0,109.9
1,n2m1,w2m1,10,20,320,10,320,combine,20.971,1.0,0.0,5.9
1,n2m1,w2m1,10,20,320,10,320,block,613.533,29.4,,
1,n2m1,w4m1,10,40,640,10,640,router,62.949,3.0,41.7,41.8
1,n2m1,w4m1,10,40,640,10,640,route,5.811,0.3,0.0,0.0
1,n2m1,w4m1,10,40,640,10,640,perm.up,3.188,0.2,0.0,0.0
1,n2m1,w4m1,10,40,640,10,640,perm.down,2.997,0.1,0.0,0.0
1,n2m1,w4m1,10,40,640,10,640,up,473.656,22.7,8855.2,38.9
1,n2m1,w4m1,10,40,640,10,640,down,123.573,5.9,16971.0,99.4
1,n2m1,w4m1,10,40,640,10,640,shexp.up,91.633,4.4,71.5,38.0
1,n2m1,w4m1,10,40,640,10,640,shexp.down,19.237,0.9,170.3,90.5
1,n2m1,w4m1,10,40,640,10,640,combine,21.276,1.0,0.0,5.8
1,n2m1,w4m1,10,40,640,10,640,block,804.320,38.6,,
1,n1m1,m1,10,10,160,10,160,router,62.929,3.0,41.7,41.8
1,n1m1,m1,10,10,160,10,160,route,5.820,0.3,0.0,0.0
1,n1m1,m1,10,10,160,10,160,perm.up,2.899,0.1,0.0,0.0
1,n1m1,m1,10,10,160,10,160,perm.down,2.893,0.1,0.0,0.0
1,n1m1,m1,10,10,160,10,160,up,198.347,9.5,5286.6,92.9
1,n1m1,m1,10,10,160,10,160,down,86.311,4.1,6074.4,142.4
1,n1m1,m1,10,10,160,10,160,shexp.up,75.935,3.6,86.3,45.8
1,n1m1,m1,10,10,160,10,160,shexp.down,11.899,0.6,275.4,146.3
1,n1m1,m1,10,10,160,10,160,combine,20.998,1.0,0.0,5.9
1,n1m1,m1,10,10,160,10,160,block,468.031,22.5,,
1,n1m1,m2,10,20,320,10,320,router,62.904,3.0,41.8,41.8
1,n1m1,m2,10,20,320,10,320,route,5.851,0.3,0.0,0.0
1,n1m1,m2,10,20,320,10,320,perm.up,3.025,0.1,0.0,0.0
1,n1m1,m2,10,20,320,10,320,perm.down,2.948,0.1,0.0,0.0
1,n1m1,m2,10,20,320,10,320,up,373.974,18.0,5607.7,49.3
1,n1m1,m2,10,20,320,10,320,down,84.986,4.1,12338.2,144.6
1,n1m1,m2,10,20,320,10,320,shexp.up,76.205,3.7,86.0,45.7
1,n1m1,m2,10,20,320,10,320,shexp.down,14.188,0.7,231.0,122.7
1,n1m1,m2,10,20,320,10,320,combine,21.006,1.0,0.0,5.8
1,n1m1,m2,10,20,320,10,320,block,645.087,31.0,,
1,n1m1,m4,10,40,640,10,640,router,62.949,3.0,41.7,41.8
1,n1m1,m4,10,40,640,10,640,route,5.813,0.3,0.0,0.0
1,n1m1,m4,10,40,640,10,640,perm.up,3.189,0.2,0.0,0.0
1,n1m1,m4,10,40,640,10,640,perm.down,2.992,0.1,0.0,0.0
1,n1m1,m4,10,40,640,10,640,up,695.651,33.4,6029.3,26.5
1,n1m1,m4,10,40,640,10,640,down,115.485,5.5,18159.5,106.4
1,n1m1,m4,10,40,640,10,640,shexp.up,91.314,4.4,71.8,38.1
1,n1m1,m4,10,40,640,10,640,shexp.down,22.312,1.1,146.9,78.0
1,n1m1,m4,10,40,640,10,640,combine,21.003,1.0,0.0,5.9
1,n1m1,m4,10,40,640,10,640,block,1020.708,49.0,,
1,n1m1,w2m1,10,20,320,10,320,router,62.862,3.0,41.8,41.9
1,n1m1,w2m1,10,20,320,10,320,route,5.830,0.3,0.0,0.0
1,n1m1,w2m1,10,20,320,10,320,perm.up,3.010,0.1,0.0,0.0
1,n1m1,w2m1,10,20,320,10,320,perm.down,2.976,0.1,0.0,0.0
1,n1m1,w2m1,10,20,320,10,320,up,373.875,17.9,5609.2,49.3
1,n1m1,w2m1,10,20,320,10,320,down,94.274,4.5,11122.6,130.3
1,n1m1,w2m1,10,20,320,10,320,shexp.up,76.012,3.6,86.2,45.8
1,n1m1,w2m1,10,20,320,10,320,shexp.down,15.800,0.8,207.4,110.2
1,n1m1,w2m1,10,20,320,10,320,combine,20.975,1.0,0.0,5.9
1,n1m1,w2m1,10,20,320,10,320,block,655.614,31.5,,
1,n1m1,w4m1,10,40,640,10,640,router,62.931,3.0,41.7,41.8
1,n1m1,w4m1,10,40,640,10,640,route,5.848,0.3,0.0,0.0
1,n1m1,w4m1,10,40,640,10,640,perm.up,3.217,0.2,0.0,0.0
1,n1m1,w4m1,10,40,640,10,640,perm.down,2.991,0.1,0.0,0.0
1,n1m1,w4m1,10,40,640,10,640,up,694.623,33.3,6038.2,26.5
1,n1m1,w4m1,10,40,640,10,640,down,129.016,6.2,16255.0,95.2
1,n1m1,w4m1,10,40,640,10,640,shexp.up,91.449,4.4,71.7,38.1
1,n1m1,w4m1,10,40,640,10,640,shexp.down,19.629,0.9,166.9,88.7
1,n1m1,w4m1,10,40,640,10,640,combine,21.999,1.1,0.0,5.6
1,n1m1,w4m1,10,40,640,10,640,block,1031.703,49.5,,
