tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,out.sum,0.688,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,layer,88.040,1.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,qkv,39.272,0.5,1819.0,1819.1
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,qkv.sum,1.208,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,pack,5.650,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,idx,3.095,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,score,9.066,0.1,57.8,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,attn,7.295,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,out,20.833,0.2,1510.0,1510.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,out.sum,0.737,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,layer,87.156,1.0,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,qkv,40.604,0.5,1759.3,1759.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,qkv.sum,1.162,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,pack,5.668,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,idx,3.484,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,score,9.220,0.1,56.9,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,attn,7.408,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,out,17.673,0.2,1780.0,1780.7
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,out.sum,0.842,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,layer,86.061,1.0,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv,39.284,0.5,1818.4,1818.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv.sum,1.169,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,pack,5.674,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,idx,3.528,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,score,9.125,0.1,57.5,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,attn,7.297,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out,17.707,0.2,1776.5,1777.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out.sum,1.059,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,layer,84.843,1.0,,
