tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
512,m4,w2m1,274,312,19968,624,19968,combine,461.460,22.2,0.0,136.3
512,m4,w2m1,274,312,19968,624,19968,block,12865.239,617.5,,
512,m4,w4m1,274,312,19968,312,19968,router,103.516,5.0,12991.2,50.7
512,m4,w4m1,274,312,19968,312,19968,route,15.020,0.7,0.0,0.0
512,m4,w4m1,274,312,19968,312,19968,perm.up,19.677,0.9,0.0,0.0
512,m4,w4m1,274,312,19968,312,19968,perm.down,19.517,0.9,0.0,0.0
512,m4,w4m1,274,312,19968,312,19968,up,8003.791,384.2,16350.0,63.1
512,m4,w4m1,274,312,19968,312,19968,down,3466.362,166.4,18876.0,97.1
512,m4,w4m1,274,312,19968,312,19968,shexp.up,219.985,10.6,15253.1,15.8
512,m4,w4m1,274,312,19968,312,19968,shexp.down,83.622,4.0,20063.2,20.8
512,m4,w4m1,274,312,19968,312,19968,combine,466.838,22.4,0.0,134.8
512,m4,w4m1,274,312,19968,312,19968,block,12398.328,595.1,,
512,w2m1,m1,274,372,11904,744,11904,router,106.137,5.1,12670.4,49.4
512,w2m1,m1,274,372,11904,744,11904,route,15.140,0.7,0.0,0.0
512,w2m1,m1,274,372,11904,744,11904,perm.up,18.571,0.9,0.0,0.0
512,w2m1,m1,274,372,11904,744,11904,perm.down,19.060,0.9,0.0,0.0
512,w2m1,m1,274,372,11904,744,11904,up,8626.189,414.1,9043.9,58.5
512,w2m1,m1,274,372,11904,744,11904,down,3264.442,156.7,11949.1,103.1
512,w2m1,m1,274,372,11904,744,11904,shexp.up,307.111,14.7,10925.8,11.3
512,w2m1,m1,274,372,11904,744,11904,shexp.down,104.085,5.0,16118.8,16.7
512,w2m1,m1,274,372,11904,744,11904,combine,458.551,22.0,0.0,137.2
512,w2m1,m1,274,372,11904,744,11904,block,12919.286,620.1,,
512,w2m1,m2,274,372,11904,372,11904,router,102.482,4.9,13122.3,51.2
512,w2m1,m2,274,372,11904,372,11904,route,14.924,0.7,0.0,0.0
512,w2m1,m2,274,372,11904,372,11904,perm.up,18.322,0.9,0.0,0.0
512,w2m1,m2,274,372,11904,372,11904,perm.down,18.410,0.9,0.0,0.0
512,w2m1,m2,274,372,11904,372,11904,up,8629.091,414.2,9040.8,58.5
512,w2m1,m2,274,372,11904,372,11904,down,2797.387,134.3,13944.1,120.4
512,w2m1,m2,274,372,11904,372,11904,shexp.up,302.494,14.5,11092.6,11.5
512,w2m1,m2,274,372,11904,372,11904,shexp.down,69.107,3.3,24277.2,25.2
512,w2m1,m2,274,372,11904,372,11904,combine,462.534,22.2,0.0,136.0
512,w2m1,m2,274,372,11904,372,11904,block,12414.751,595.9,,
512,w2m1,m4,274,624,19968,312,19968,router,102.803,4.9,13081.3,51.0
512,w2m1,m4,274,624,19968,312,19968,route,15.196,0.7,0.0,0.0
512,w2m1,m4,274,624,19968,312,19968,perm.up,19.845,1.0,0.0,0.0
512,w2m1,m4,274,624,19968,312,19968,perm.down,19.597,0.9,0.0,0.0
512,w2m1,m4,274,624,19968,312,19968,up,12422.322,596.3,10534.4,40.7
512,w2m1,m4,274,624,19968,312,19968,down,3461.128,166.1,18904.6,97.3
512,w2m1,m4,274,624,19968,312,19968,shexp.up,297.797,14.3,11267.6,11.7
512,w2m1,m4,274,624,19968,312,19968,shexp.down,59.016,2.8,28428.2,29.5
512,w2m1,m4,274,624,19968,312,19968,combine,460.170,22.1,0.0,136.7
512,w2m1,m4,274,624,19968,312,19968,block,16857.874,809.2,,
512,w2m1,w2m1,274,372,11904,372,11904,router,104.743,5.0,12839.0,50.1
512,w2m1,w2m1,274,372,11904,372,11904,route,15.028,0.7,0.0,0.0
