tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,scan,9.470,0.3,664.4,752.6
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,norm,1.127,0.0,0.0,54.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out,18.060,0.7,1741.8,1742.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out.sum,1.117,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,hist,0.807,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,layer,81.569,2.9,,
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,179.956,6.5,468.9,468.9
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,1.741,0.1,0.0,47.1
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,9.019,0.3,697.6,790.2
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.098,0.0,0.0,56.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,120.620,4.3,260.8,260.9
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,0.800,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,313.234,11.3,,
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,qkv,52.547,1.9,1605.8,1605.9
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,conv,2.165,0.1,0.0,37.8
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,scan,9.407,0.3,668.8,757.6
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,norm,1.122,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out,17.797,0.6,1767.6,1768.3
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out.sum,1.101,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,hist,0.804,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,layer,84.943,3.1,,
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv,55.290,2.0,1526.1,1526.2
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv.sum,0.860,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,conv,1.785,0.1,0.0,45.9
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,scan,9.448,0.3,665.9,754.3
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,norm,1.121,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,out,17.865,0.6,1760.8,1761.5
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,out.sum,1.097,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,hist,0.799,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,layer,88.265,3.2,,
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,qkv,48.972,1.8,1723.0,1723.1
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,qkv.sum,0.997,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,conv,1.783,0.1,0.0,45.9
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,scan,9.509,0.3,661.6,749.5
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,norm,1.134,0.0,0.0,54.2
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,out,18.016,0.6,1746.1,1746.8
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,out.sum,1.094,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,hist,0.798,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,layer,82.303,3.0,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,47.824,1.7,1764.3,1764.4
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.311,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,1.810,0.1,0.0,45.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,9.522,0.3,660.7,748.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.158,0.0,0.0,53.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,18.204,0.7,1728.0,1728.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.259,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,0.781,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,81.869,2.9,,
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,qkv,49.875,1.8,1691.8,1691.9
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,qkv.sum,2.118,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,conv,1.779,0.1,0.0,46.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,scan,9.457,0.3,665.3,753.6
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,norm,1.138,0.0,0.0,54.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,out,17.955,0.6,1752.0,1752.7
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,out.sum,1.100,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,hist,0.804,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,layer,84.226,3.0,,
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,qkv,50.570,1.8,1668.5,1668.6
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,qkv.sum,3.603,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,conv,1.797,0.1,0.0,45.6
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,scan,9.573,0.3,657.2,744.5
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,norm,1.157,0.0,0.0,53.1
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,out,18.358,0.7,1713.5,1714.2
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,out.sum,1.060,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,hist,0.779,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,layer,86.897,3.1,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,qkv,47.196,1.7,1787.8,1787.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,qkv.sum,1.237,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,conv,1.758,0.1,0.0,46.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,scan,9.493,0.3,662.7,750.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,norm,1.128,0.0,0.0,54.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,out,38.693,1.4,813.0,813.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,hist,0.778,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,layer,100.283,3.6,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,qkv,47.742,1.7,1767.4,1767.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,qkv.sum,1.287,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,conv,1.773,0.1,0.0,46.2
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,scan,9.710,0.3,647.9,734.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,norm,1.152,0.0,0.0,53.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,out,25.556,0.9,1230.9,1231.4
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,out.sum,0.685,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,hist,0.785,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,layer,88.690,3.2,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,qkv,47.620,1.7,1771.9,1772.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,qkv.sum,1.242,0.0,0.0,0.0
