tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,shexp.up,13.981,0.7,468.8,131.8
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,shexp.down,8.445,0.4,388.0,145.5
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,combine,2.897,0.1,0.0,42.4
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,block,209.771,10.1,,
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,router,23.894,1.1,109.9,110.1
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,router.sum,0.771,0.0,0.0,0.0
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,route,5.397,0.3,0.0,0.0
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,perm.up,2.409,0.1,0.0,0.0
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,up,98.629,4.7,10631.5,186.9
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,down,57.213,2.7,9163.8,214.8
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,shexp.up,14.261,0.7,459.5,129.2
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,shexp.down,8.608,0.4,380.7,142.8
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,combine,2.920,0.1,0.0,42.1
1,v64w4,v16w4/k20,v64w4/v32w4,10,10,160,10,160,block,214.102,10.3,,
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,router,13.432,0.6,195.5,195.9
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.918,0.0,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,route,5.410,0.3,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.421,0.1,0.0,0.0
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,up,98.942,4.7,10597.9,186.3
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,down,57.345,2.8,9142.7,214.3
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,13.875,0.7,472.3,132.8
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,8.573,0.4,382.2,143.3
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,combine,2.915,0.1,0.0,42.2
1,v64w4,v16w4/k40,v64w4/v32w4,10,10,160,10,160,block,203.831,9.8,,
1,v64w4,v16w4/k40,v16/v32w4,10,10,160,10,160,router,13.417,0.6,195.8,196.1
1,v64w4,v16w4/k40,v16/v32w4,10,10,160,10,160,router.sum,0.916,0.0,0.0,0.0
1,v64w4,v16w4/k40,v16/v32w4,10,10,160,10,160,route,5.385,0.3,0.0,0.0
1,v64w4,v16w4/k40,v16/v32w4,10,10,160,10,160,perm.up,2.421,0.1,0.0,0.0
