tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,qkv,240.431,8.7,350.9,351.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,qkv.sum,0.966,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,conv,1.763,0.1,0.0,46.5
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,scan,9.065,0.3,694.0,786.2
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,norm,1.116,0.0,0.0,55.1
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,out,21.967,0.8,1432.0,1432.6
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,out.sum,1.053,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,hist,0.783,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k4,gemm_m2/k32,layer,277.144,10.0,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,195.982,7.1,430.5,430.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.234,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,1.757,0.1,0.0,46.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,9.011,0.3,698.2,790.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.115,0.0,0.0,55.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,21.898,0.8,1436.5,1437.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.052,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,0.783,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,232.832,8.4,,
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,qkv,226.147,8.1,373.1,373.1
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,qkv.sum,2.057,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,conv,1.765,0.1,0.0,46.4
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,scan,8.992,0.3,699.7,792.6
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,norm,1.119,0.0,0.0,54.9
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,out,22.079,0.8,1424.8,1425.3
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,out.sum,1.056,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,hist,0.784,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k20,gemm_m2/k32,layer,263.999,9.5,,
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,qkv,205.712,7.4,410.2,410.2
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,qkv.sum,3.403,0.1,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,conv,1.750,0.1,0.0,46.8
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,scan,9.008,0.3,698.4,791.2
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,norm,1.117,0.0,0.0,55.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,out,21.967,0.8,1432.0,1432.6
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,out.sum,1.054,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,hist,0.785,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k40,gemm_m2/k32,layer,244.796,8.8,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,qkv,195.899,7.1,430.7,430.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,qkv.sum,1.238,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,conv,1.754,0.1,0.0,46.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,scan,9.002,0.3,698.9,791.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,norm,1.116,0.0,0.0,55.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,out,32.853,1.2,957.5,957.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,hist,0.786,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k1,layer,242.648,8.7,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,qkv,196.466,7.1,429.5,429.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,qkv.sum,1.232,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,conv,1.747,0.1,0.0,46.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,scan,9.028,0.3,696.9,789.4
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,norm,1.121,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k2,out,25.201,0.9,1248.3,1248.7
