phase,ubatch,category,op,dispatches,us_per_dispatch,us_total,pct_of_graph,gflops
prefill,2048,routing_gather,"SET_ROWS",48,61.237,2939.4,0.064,0.0
prefill,2048,matmul_dense,"MUL_MAT_VEC q8_0 m=248320 n=1 k=2560",1,2926.720,2926.7,0.064,434.3
prefill,2048,glue,"SILU",98,23.717,2324.3,0.051,0.0
prefill,2048,matmul_f32,"MUL_MAT f32 m=512 n=8192 k=128",12,182.135,2185.6,0.048,5872.3
prefill,2048,glue,"CPY",85,25.372,2156.7,0.047,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=2560 n=2048 k=2560",1,1298.030,1298.0,0.028,20676.2
prefill,2048,routing_gather,"TOPK_MOE_EARLY_SOFTMAX_NORM SOFT_MAX",48,25.290,1213.9,0.027,0.0
prefill,2048,attention_qsa,"TOPK_QSA GET_ROWS",12,97.571,1170.9,0.026,0.0
prefill,2048,routing_gather,"FILL",24,43.968,1055.2,0.023,0.0
prefill,2048,glue,"RELU",12,79.938,959.3,0.021,0.0
prefill,2048,norms,"RMS_NORM_MUL RMS_NORM(128,4,2048,1)",12,72.243,866.9,0.019,0.0
prefill,2048,norms,"RMS_NORM_MUL RMS_NORM(256,2,2048,1)",12,61.606,739.3,0.016,0.0
prefill,2048,norms,"SUM_ROWS",48,14.256,684.3,0.015,0.0
prefill,2048,deltanet,"SOFTPLUS",36,5.229,188.3,0.004,0.0
prefill,2048,glue,"CLAMP",48,2.526,121.3,0.003,0.0
prefill,2048,glue,"DIV",47,2.534,119.1,0.003,0.0
prefill,2048,moe_experts,"MUL_MAT_ID_VEC q4_K m=640 n=10 k=2560 n_expert=512",2,56.868,113.7,0.002,576.1
prefill,2048,norms,"RMS_NORM_MUL RMS_NORM(128,512,1,1)",12,6.912,83.0,0.002,0.0
prefill,2048,moe_experts,"MUL_MAT_ID_MUL MUL_MAT_ID_VEC q8_0 m=2560 n=10 k=640 n_expert=512",1,80.392,80.4,0.002,407.3
prefill,2048,matmul_dense,"MUL_MAT_VEC q8_0 m=320 n=1 k=10240",2,17.533,35.1,0.001,373.8
prefill,2048,matmul_dense,"MUL_MAT_VEC q8_0 m=10240 n=1 k=320",2,16.851,33.7,0.001,388.3
prefill,2048,matmul_f32,"MUL_MAT_VEC f32 m=512 n=1 k=2560",1,26.851,26.9,0.001,97.6
prefill,2048,matmul_dense,"MUL_MAT_VEC q8_0 m=640 n=1 k=2560",2,10.018,20.0,0.000,327.0
prefill,2048,matmul_dense,"MUL_MAT_VEC q8_0 m=2560 n=1 k=640",1,9.818,9.8,0.000,333.5
prefill,2048,norms,"RMS_NORM(2560,4,1,1)",2,3.446,6.9,0.000,0.0
prefill,2048,matmul_f32,"MUL_MAT_VEC f32 m=4 n=1 k=10240",1,6.412,6.4,0.000,12.8
prefill,2048,matmul_f32,"MUL_MAT_VEC f32 m=1 n=1 k=2560",1,2.725,2.7,0.000,1.9
prefill,2048,glue,"ABS",1,2.404,2.4,0.000,0.0
prefill,2048,glue,"SGN",1,2.404,2.4,0.000,0.0
prefill,2048,glue,"SQRT",1,2.404,2.4,0.000,0.0
